O-XOX-XXO, X_WIN
OX-XXOOX-, X_WIN
OX-XXO-XO, X_WIN
OX-XXXOO-, X_WIN
OX-XX-OXO, X_WIN
OOX--XXOX, X_WIN
OX-XXX-OO, X_WIN
OXOOX-XX-, X_WIN
O-OXXXO-X, X_WIN
OXO-X--X-, X_WIN
O-X-XOXOX, X_WIN
OX-OXOXX-, X_WIN
O-XOXOX-X, X_WIN
OOXXXX--O, X_WIN
-XO-XOOXX, X_WIN
OXO-O-XXX, X_WIN
OX-OX-XXO, X_WIN
-OXOX-X--, X_WIN
OX--XO-X-, X_WIN
O-X-OXXOX, X_WIN
OX--XXOXO, X_WIN
-X-OXO-X-, X_WIN
OX--X--XO, X_WIN
OXOOOXXXX, X_WIN
-OXO-XOXX, X_WIN
O-OO-XXXX, X_WIN
OXO--OXXX, X_WIN
-O-XXXXOO, X_WIN
OX-OO-XXX, X_WIN
OX--OOXXX, X_WIN
OOX-XXX-O, X_WIN
-XOOXXOX-, X_WIN
-XOOXOXX-, X_WIN
-XOOX--X-, X_WIN
-X-OX--XO, X_WIN
-XO-XO-X-, X_WIN
-XO-X-OX-, X_WIN
-XO-X--XO, X_WIN
O-XXXXO-O, X_WIN
-XOO-OXXX, X_WIN
O-XOX-XOX, X_WIN
OOX-XOX-X, X_WIN
-XXOXOOX-, X_WIN
OOXX-X-OX, X_WIN
XXXOXOOOX, X_WIN
OOX-X-XOX, X_WIN
-XXOXO-XO, X_WIN
-XXOX-OXO, X_WIN
-XXO-XOOX, X_WIN
--XOXOXOX, X_WIN
-XXOX-XOO, X_WIN
-X-OX-OX-, X_WIN
XXXXOOXOO, X_WIN
-XX-OXOOX, X_WIN
-OOXXXO-X, X_WIN
-XX-XOOXO, X_WIN
-X--XO-XO, X_WIN
OOXOXXXXO, X_WIN
-X--X-OXO, X_WIN
OOXXXOX--, X_WIN
OOXXXOXXO, X_WIN
OOXOXOXXX, X_WIN
OOXXXOXOX, X_WIN
OOXXXXO--, X_WIN
OOXXXXOXO, X_WIN
OOXXXXOOX, X_WIN
O-X-XOXXO, X_WIN
OOXXX-X-O, X_WIN
OOXX-XO-X, X_WIN
OOXXXXXOO, X_WIN
OOX--OXXX, X_WIN
O-XXXOXO-, X_WIN
O-XXXOX-O, X_WIN
O-XXX-XOO, X_WIN
OOXOX-XX-, X_WIN
OOX-XX-OX, X_WIN
OOX-X-X--, X_WIN
O-XO-OXXX, X_WIN
O-XOOXX-X, X_WIN
OOX-XOXX-, X_WIN
OOX-X-XXO, X_WIN
O-XOX-X--, X_WIN
O-X-XXOOX, X_WIN
O-X-X-XO-, X_WIN
OOXOOXXXX, X_WIN
OOX-OXX-X, X_WIN
OOX-OX-XX, X_WIN
OOX--X--X, X_WIN
O-X--XO-X, X_WIN
-O--O-XXX, X_WIN
O-X-OOXXX, X_WIN
-OXXOXO-X, X_WIN
-OXXX-XOO, X_WIN
-OOXXXOX-, X_WIN
-O-OXOXXX, X_WIN
-OXOXOXX-, X_WIN
-OXOX-XXO, X_WIN
-OX-XOX--, X_WIN
-OX-XOXOX, X_WIN
-OX-X-XO-, X_WIN
-OX-X-X-O, X_WIN
-OXOOX-XX, X_WIN
-O-OOXXXX, X_WIN
-OXO-X--X, X_WIN
-OX-OXOXX, X_WIN
-OX-OX--X, X_WIN
-OX--XO-X, X_WIN
-OXOO-XXX, X_WIN
--XOXXXOO, X_WIN
--XOX-XO-, X_WIN
--XOOXXOX, X_WIN
--XOOX--X, X_WIN
--XO-XO-X, X_WIN
--XO-X-OX, X_WIN
--XXOXOOX, X_WIN
--X-OX-OX, X_WIN
--XXXOXOO, X_WIN
--X-XOXO-, X_WIN
--X-XOX-O, X_WIN
--X--XOOX, X_WIN
--X-X-XOO, X_WIN
OO-XXX---, X_WIN
OO-XXXXO-, X_WIN
OO-XXXOX-, X_WIN
OO-XXX-OX, X_WIN
O-OXXX---, X_WIN
O-OXXXOX-, X_WIN
O--XXXO--, X_WIN
O--XXXOXO, X_WIN
O--XXXOOX, X_WIN
O--XXX-O-, X_WIN
O--XXXXOO, X_WIN
-OOXO-XXX, X_WIN
O--XXX--O, X_WIN
O-OXO-XXX, X_WIN
O--XOOXXX, X_WIN
XOOXXOXOX, X_WIN
-OOXXXXO-, X_WIN
-OOXXXX-O, X_WIN
-OOXXX-XO, X_WIN
-OOXXX-OX, X_WIN
-O-XXXOXO, X_WIN
-O-XXXOOX, X_WIN
-O-XXX-O-, X_WIN
-OOX-OXXX, X_WIN
-O-XOOXXX, X_WIN
--OXXXO--, X_WIN
--OXXXOOX, X_WIN
--OXXX-O-, X_WIN
--OXXXXOO, X_WIN
OO-O-XXXX, X_WIN
--OXXX--O, X_WIN
--OXOOXXX, X_WIN
---XXXOO-, X_WIN
---XXXO-O, X_WIN
OOXOXXXOX, X_WIN
OO-OX-XXX, X_WIN
O-OOX-XXX, X_WIN
O-O-XOXXX, X_WIN
O--OOXXXX, X_WIN
OO----XXX, X_WIN
O----OXXX, X_WIN
O-O---XXX, X_WIN
O--O--XXX, X_WIN
O---O-XXX, X_WIN
-OO---XXX, X_WIN
-O-O--XXX, X_WIN
-O---OXXX, X_WIN
--O-O-XXX, X_WIN
--O--OXXX, X_WIN
---OO-XXX, X_WIN
----OOXXX, X_WIN
